 1 366
 event,miss,iscat,jscat= 1 0 20 1
     2    0.075   -0.426     -0.103  0.006     0.89    -0.09    -0.06     0.21
    -2   -0.129    0.039     -0.151  0.006     1.01    -0.09     0.01     0.14
     2    0.192   -0.170     -0.052  0.006     0.90    -0.11    -0.06     0.23
    -2   -0.246   -0.217     -0.202  0.006     0.95    -0.07    -0.06     0.23
 event,miss,iscat,jscat= 1 0 21 12
     1   -0.160    0.072      0.012  0.010     0.89    -0.09    -0.06     0.21
    -3   -0.098   -0.274     -0.584  0.199     0.92     0.03    -0.07     0.19
     1   -0.144   -0.342     -0.341  0.010     0.87    -0.08    -0.05     0.23
    -3   -0.114    0.141     -0.231  0.199     0.91     0.01    -0.11     0.23
 event,miss,iscat,jscat= 1 0 13 10
     2   -0.452    0.181      0.163  0.006     0.92     0.03    -0.07     0.19
    -3   -0.510    0.346     -0.308  0.199     0.86    -0.10    -0.04     0.16
     2   -0.490    0.132      0.136  0.006     0.86     0.05    -0.05     0.25
    -3   -0.472    0.395     -0.281  0.199     0.80    -0.06    -0.08     0.25
 event,miss,iscat,jscat= 1 0 37 9
     2    0.056   -0.220      0.382  0.006    -0.35    -0.39     0.22     0.28
    -1   -0.218    0.129      0.321  0.010    -0.39    -0.52     0.08     0.16
     2    0.095   -0.167      0.425  0.006    -0.35    -0.39     0.22     0.29
    -1   -0.258    0.076      0.278  0.010    -0.46    -0.48     0.17     0.29
 event,miss,iscat,jscat= 1 0 28 20
    -3   -0.251   -0.141     -0.116  0.199     1.01    -0.06    -0.13     0.25
     2    0.192   -0.170     -0.052  0.006     0.90    -0.11    -0.06     0.23
    -3   -0.187   -0.324     -0.005  0.199     0.97    -0.08    -0.15     0.30
     2    0.128    0.013     -0.163  0.006     0.95    -0.16    -0.08     0.30
 event,miss,iscat,jscat= 1 0 54 27
     3   -0.280   -0.104     -0.548  0.199     1.07     0.06    -0.30     0.36
     2    0.510    0.247     -0.461  0.006     1.01    -0.06    -0.13     0.25
     3   -0.050    0.207     -1.055  0.199     1.07     0.06    -0.30     0.36
     2    0.280   -0.064      0.046  0.006     1.09    -0.02    -0.20     0.36
 event,miss,iscat,jscat= 1 0 30 23
    -2    0.026   -0.089     -0.285  0.006    -0.42     0.75     0.05     0.25
    -2    0.117    0.069     -0.230  0.006    -0.43     0.62     0.07     0.22
    -2    0.131   -0.093     -0.395  0.006    -0.41     0.70    -0.09     0.40
    -2    0.013    0.072     -0.121  0.006    -0.35     0.67    -0.09     0.40
 event,miss,iscat,jscat= 1 0 47 38
    -2    0.389    0.149      0.662  0.006     0.99     0.09     0.27     0.34
     2   -0.204    0.015      0.651  0.006     1.07     0.02     0.19     0.28
    -2   -0.150    0.204      0.881  0.006     1.02     0.10     0.32     0.41
     2    0.335   -0.041      0.433  0.006     1.03     0.02     0.31     0.41
 event,miss,iscat,jscat= 1 0 40 12
     3   -0.187    0.300     -0.554  0.199     0.96    -0.12    -0.24     0.32
    -3   -0.114    0.141     -0.231  0.199     0.91     0.01    -0.11     0.23
     3   -0.154    0.213     -0.269  0.199     0.94    -0.07    -0.32     0.42
    -3   -0.147    0.227     -0.515  0.199     0.85     0.09    -0.22     0.42
 event,miss,iscat,jscat= 1 0 60 18
     1    0.165   -0.255     -0.356  0.010    -0.31     0.06    -0.20     0.37
     2    0.080    0.501     -0.002  0.006    -0.33    -0.30    -0.12     0.20
     1    0.195    0.367     -0.583  0.010    -0.28     0.01    -0.27     0.45
     2    0.049   -0.120      0.224  0.006    -0.29    -0.06    -0.13     0.45
 event,miss,iscat,jscat= 1 0 73 30
    -1    0.122    0.150      0.007  0.010    -0.45     0.63    -0.21     0.41
    -2    0.131   -0.093     -0.395  0.006    -0.41     0.70    -0.09     0.40
    -1    0.142   -0.094      0.019  0.010    -0.39     0.70    -0.20     0.50
    -2    0.111    0.151     -0.407  0.006    -0.38     0.68    -0.19     0.50
 event,miss,iscat,jscat= 1 0 70 31
    -2   -0.028    0.002      0.052  0.006    -0.72    -0.48     0.13     0.40
    -2   -0.289   -0.165      0.040  0.006    -0.51    -0.39     0.18     0.28
    -2   -0.328   -0.158      0.076  0.006    -0.77    -0.47     0.23     0.51
    -2    0.012   -0.005      0.017  0.006    -0.71    -0.50     0.21     0.51
 event,miss,iscat,jscat= 1 0 73 23
    -1    0.142   -0.094      0.019  0.010    -0.39     0.70    -0.20     0.50
    -2    0.013    0.072     -0.121  0.006    -0.35     0.67    -0.09     0.40
    -1    0.173    0.080     -0.051  0.010    -0.37     0.69    -0.20     0.52
    -2   -0.018   -0.102     -0.051  0.006    -0.34     0.73    -0.19     0.52
 event,miss,iscat,jscat= 1 0 73 30
    -1    0.173    0.080     -0.051  0.010    -0.37     0.69    -0.20     0.52
    -2    0.111    0.151     -0.407  0.006    -0.38     0.68    -0.19     0.50
    -1    0.170    0.235     -0.444  0.010    -0.37     0.70    -0.20     0.52
    -2    0.114   -0.004     -0.013  0.006    -0.37     0.69    -0.20     0.52
 event,miss,iscat,jscat= 1 0 55 21
     2    0.347    0.296     -0.238  0.006     0.58    -0.32    -0.29     0.36
     1   -0.144   -0.342     -0.341  0.010     0.87    -0.08    -0.05     0.23
     2    0.228   -0.244      0.069  0.006     0.71    -0.22    -0.37     0.54
     1   -0.024    0.199     -0.648  0.010     0.78    -0.29    -0.27     0.54
 event,miss,iscat,jscat= 1 0 73 23
    -1    0.170    0.235     -0.444  0.010    -0.37     0.70    -0.20     0.52
    -2   -0.018   -0.102     -0.051  0.006    -0.34     0.73    -0.19     0.52
    -1   -0.066   -0.073     -0.211  0.010    -0.36     0.71    -0.22     0.55
    -2    0.218    0.206     -0.284  0.006    -0.34     0.70    -0.20     0.55
 event,miss,iscat,jscat= 1 0 83 56
    -2    0.136    0.457     -0.599  0.006     0.45    -0.40    -0.39     0.46
    -2   -0.070   -0.202     -0.917  0.006     0.58    -0.32    -0.29     0.36
    -2    0.387    0.081     -0.997  0.006     0.47    -0.34    -0.47     0.57
    -2   -0.321    0.173     -0.520  0.006     0.57    -0.36    -0.49     0.57
 event,miss,iscat,jscat= 1 0 89 85
     3   -0.179    0.283      0.940  0.199     1.01    -0.09     0.45     0.49
    -1    0.276   -0.462      1.147  0.010     1.00    -0.01     0.42     0.47
     3   -0.090   -0.355      1.947  0.199     1.00    -0.07     0.53     0.58
    -1    0.187    0.177      0.140  0.010     1.03    -0.05     0.51     0.58
 event,miss,iscat,jscat= 1 0 55 1
     2    0.228   -0.244      0.069  0.006     0.71    -0.22    -0.37     0.54
    -2   -0.246   -0.217     -0.202  0.006     0.95    -0.07    -0.06     0.23
     2   -0.151   -0.285      0.160  0.006     0.76    -0.27    -0.36     0.62
    -2    0.132   -0.176     -0.293  0.006     0.70    -0.29    -0.26     0.62
 event,miss,iscat,jscat= 1 0 55 21
     2   -0.151   -0.285      0.160  0.006     0.76    -0.27    -0.36     0.62
     1   -0.024    0.199     -0.648  0.010     0.78    -0.29    -0.27     0.54
     2   -0.502   -0.212     -0.404  0.006     0.75    -0.27    -0.35     0.62
     1    0.327    0.126     -0.084  0.010     0.78    -0.27    -0.34     0.62
 event,miss,iscat,jscat= 1 0 49 35
    -1    0.145   -0.288      0.551  0.010    -0.58     0.05     0.25     0.34
     2   -0.232    0.425      0.278  0.006    -0.35    -0.39     0.22     0.28
    -1   -0.047    0.068     -0.173  0.010    -0.51    -0.09     0.51     0.65
     2   -0.040    0.069      1.002  0.006    -0.50    -0.12     0.40     0.65
 event,miss,iscat,jscat= 1 0 107 61
    -2    0.204   -0.042      0.080  0.006    -0.49     0.09     0.60     0.64
    -1   -0.130    0.148      0.879  0.010    -0.43     0.15     0.29     0.38
    -2   -0.068   -0.070      0.879  0.006    -0.48     0.09     0.60     0.65
    -1    0.142    0.176      0.080  0.010    -0.47     0.19     0.56     0.65
 event,miss,iscat,jscat= 1 0 88 56
     1   -0.006   -0.129     -0.676  0.010     0.57    -0.25    -0.38     0.48
    -2   -0.321    0.173     -0.520  0.006     0.57    -0.36    -0.49     0.57
     1   -0.267   -0.171     -0.891  0.010     0.57    -0.29    -0.57     0.67
    -2   -0.060    0.215     -0.304  0.006     0.52    -0.34    -0.57     0.67
 event,miss,iscat,jscat= 1 0 83 56
    -2    0.387    0.081     -0.997  0.006     0.47    -0.34    -0.47     0.57
    -2   -0.060    0.215     -0.304  0.006     0.52    -0.34    -0.57     0.67
    -2    0.225   -0.083     -0.602  0.006     0.51    -0.33    -0.59     0.69
    -2    0.102    0.379     -0.698  0.006     0.51    -0.33    -0.59     0.69
 event,miss,iscat,jscat= 1 0 68 61
     1   -0.021   -0.291      0.234  0.010    -0.38     0.42     0.28     0.40
    -1    0.142    0.176      0.080  0.010    -0.47     0.19     0.56     0.65
     1    0.039    0.081      0.380  0.010    -0.40     0.19     0.47     0.70
    -1    0.082   -0.197     -0.066  0.010    -0.44     0.23     0.58     0.70
 event,miss,iscat,jscat= 1 0 37 14
     2    0.095   -0.167      0.425  0.006    -0.35    -0.39     0.22     0.29
    -1    0.154   -0.034      0.573  0.010    -0.41    -0.52     0.13     0.20
     2    0.017   -0.022      0.009  0.006    -0.26    -0.55     0.63     0.73
    -1    0.232   -0.180      0.989  0.010    -0.27    -0.55     0.64     0.73
 event,miss,iscat,jscat= 1 0 82 63
    -1   -0.343   -0.020     -0.271  0.010     0.19    -0.43    -0.27     0.44
     2    0.499   -0.046     -0.523  0.006    -0.30    -0.44    -0.31     0.39
    -1   -0.333   -0.051     -0.453  0.010    -0.05    -0.44    -0.46     0.75
     2    0.490   -0.016     -0.341  0.006    -0.05    -0.46    -0.56     0.75
 event,miss,iscat,jscat= 1 0 88 56
     1   -0.267   -0.171     -0.891  0.010     0.57    -0.29    -0.57     0.67
    -2    0.102    0.379     -0.698  0.006     0.51    -0.33    -0.59     0.69
     1   -0.096   -0.212     -0.959  0.010     0.54    -0.30    -0.65     0.76
    -2   -0.069    0.419     -0.630  0.006     0.52    -0.29    -0.65     0.76
 event,miss,iscat,jscat= 1 0 81 63
     1   -0.202   -0.119     -0.191  0.010     0.19    -0.43    -0.27     0.44
     2    0.490   -0.016     -0.341  0.006    -0.05    -0.46    -0.56     0.75
     1   -0.143    0.011     -0.402  0.010    -0.02    -0.55    -0.48     0.76
     2    0.431   -0.147     -0.131  0.006    -0.04    -0.46    -0.57     0.76
 event,miss,iscat,jscat= 1 0 116 77
     1   -0.253    0.464     -1.204  0.010    -0.51    -0.21    -0.66     0.71
     2    0.156    0.175     -0.547  0.006    -0.62    -0.34    -0.37     0.42
     1    0.022    0.621     -1.600  0.010    -0.52    -0.18    -0.72     0.78
     2   -0.120    0.018     -0.151  0.006    -0.52    -0.23    -0.70     0.78
 event,miss,iscat,jscat= 1 0 67 61
    -2    0.104   -0.378      0.439  0.006    -0.38     0.42     0.28     0.40
    -1    0.082   -0.197     -0.066  0.010    -0.44     0.23     0.58     0.70
