 1 0 366 24 147 356 185
    -2   -0.129    0.039     -0.151  0.006     1.01    -0.09     0.01     0.14
    -2   -0.164   -0.049      0.273  0.006     1.01    -0.09     0.01     0.14
    -2    0.897   -0.119     -0.045  0.006     1.01    -0.09     0.01     0.14
    -2    0.242   -0.306     -0.476  0.006    -0.33    -0.51     0.01     0.15
     2    0.068   -0.398      0.523  0.006    -0.33    -0.51     0.01     0.15
     2    0.273    0.167      0.721  0.006    -0.40     0.77     0.05     0.16
    -1   -0.109    0.452     -0.309  0.010    -0.40     0.77     0.05     0.16
     2   -0.020   -1.067      0.397  0.006    -0.39    -0.52     0.08     0.16
    -1   -0.218    0.129      0.321  0.010    -0.39    -0.52     0.08     0.16
    -3   -0.510    0.346     -0.308  0.199     0.86    -0.10    -0.04     0.16
     3   -0.186   -0.506     -0.037  0.199     0.86    -0.10    -0.04     0.16
    -3   -0.098   -0.274     -0.584  0.199     0.92     0.03    -0.07     0.19
     2   -0.452    0.181      0.163  0.006     0.92     0.03    -0.07     0.19
    -1    0.154   -0.034      0.573  0.010    -0.41    -0.52     0.13     0.20
     1   -0.572   -0.843      0.598  0.010    -0.41    -0.52     0.13     0.20
    -1   -0.569    0.035      0.444  0.010    -0.57     0.20     0.06     0.20
     1    0.139    0.308     -0.135  0.010    -0.57     0.20     0.06     0.20
     2    0.080    0.501     -0.002  0.006    -0.33    -0.30    -0.12     0.20
    -2    0.173    0.401     -0.940  0.006    -0.33    -0.30    -0.12     0.20
     2    0.075   -0.426     -0.103  0.006     0.89    -0.09    -0.06     0.21
     1   -0.160    0.072      0.012  0.010     0.89    -0.09    -0.06     0.21
     2   -0.196    0.292     -0.187  0.006     0.89    -0.09    -0.06     0.21
    -2    0.117    0.069     -0.230  0.006    -0.43     0.62     0.07     0.22
     3   -0.187   -0.427      0.547  0.199    -0.43     0.62     0.07     0.22
     3    0.482   -0.350      0.258  0.199    -0.42     0.09     0.03     0.22
    -1   -0.175    0.112     -0.130  0.010    -0.42     0.09     0.03     0.22
     2    0.510    0.247     -0.461  0.006     1.01    -0.06    -0.13     0.25
    -3   -0.251   -0.141     -0.116  0.199     1.01    -0.06    -0.13     0.25
     1   -0.039    0.248      0.432  0.010    -0.42     0.75     0.05     0.25
    -2    0.026   -0.089     -0.285  0.006    -0.42     0.75     0.05     0.25
    -2   -0.289   -0.165      0.040  0.006    -0.51    -0.39     0.18     0.28
     2   -0.334    0.303      0.708  0.006    -0.51    -0.39     0.18     0.28
    -1    0.065    0.508     -1.440  0.010     0.48    -0.29    -0.22     0.28
     1   -0.267   -0.187     -0.029  0.010     0.48    -0.29    -0.22     0.28
     2   -0.232    0.425      0.278  0.006    -0.35    -0.39     0.22     0.28
     1    0.263   -0.005      0.745  0.010    -0.35    -0.39     0.22     0.28
     2    0.056   -0.220      0.382  0.006    -0.35    -0.39     0.22     0.28
     2   -0.204    0.015      0.651  0.006     1.07     0.02     0.19     0.28
    -3    0.504   -0.126      0.217  0.199     1.07     0.02     0.19     0.28
     3   -0.187    0.300     -0.554  0.199     0.96    -0.12    -0.24     0.32
    -2    0.254   -0.465     -0.517  0.006     0.96    -0.12    -0.24     0.32
     2   -0.179   -0.256      0.139  0.006    -0.34     0.66     0.22     0.33
    -1    0.425    0.146      0.555  0.010    -0.34     0.66     0.22     0.33
