 1 0 1 197
    21   -0.570    0.740      8.586  0.000     0.59     0.00  0.  0.   1
    21    0.332   -0.044      0.072  0.000     0.59     0.00  0.  0.   1
    21    0.234   -0.387     -1.783  0.000     0.59     0.00  0.  0.   1
    21   -0.567   -3.074     -0.779  0.000     0.59     0.00  0.  0.   1
    21    0.998    0.225     -0.853  0.000     0.59     0.00  0.  0.   1
    21    0.389    0.210      0.719  0.000     0.59     0.00  0.  0.   1
    21   -1.011   -0.305      2.009  0.000     0.59     0.00  0.  0.   1
    21   -0.581    0.432     -1.330  0.000     0.59     0.00  0.  0.   1
    21    0.397    2.741     -2.852  0.000     0.59     0.00  0.  0.   1
    21    0.842    0.314     -0.370  0.000     0.59     0.00  0.  0.   1
    21    2.818   -0.089     30.031  0.000     0.85    -0.08  0.  0.   2
    21    0.300    0.823      6.029  0.000     0.85    -0.08  0.  0.   2
    21    0.480    0.411      2.443  0.000     0.85    -0.08  0.  0.   2
    21   -0.260    1.648     -3.089  0.000     1.36    -0.46  0.  0.   2
    21   -0.873   -1.352     -4.094  0.000     1.36    -0.46  0.  0.   2
     4   -0.036    2.541     -2.245  1.350     1.02     0.68  0.  0.   3
    21   -0.555    0.555     -0.702  0.000     1.02     0.68  0.  0.   3
    21    0.350    0.766     -6.529  0.000     1.02     0.68  0.  0.   3
    21    0.397   -0.594     -2.505  0.000     1.02     0.68  0.  0.   3
    -4    0.003   -1.623      1.864  1.350     1.02     0.68  0.  0.   3
