 1 199
 event,miss,iscat,jscat= 1 0 17 12
    -2   -0.041    0.200      0.040  0.006     0.28     0.03    -0.14     0.25
     2   -0.113    0.033     -0.655  0.006     0.24     0.07    -0.10     0.23
    -2   -0.277    0.283     -0.213  0.006     0.27     0.06    -0.14     0.28
     2    0.123   -0.050     -0.402  0.006     0.23     0.07    -0.15     0.28
 event,miss,iscat,jscat= 1 0 15 10
    -2    0.192   -0.116      0.028  0.006     0.28     0.03    -0.14     0.25
    -2    0.064    0.308     -0.163  0.006     0.23    -0.04    -0.02     0.22
    -2    0.235    0.251     -0.267  0.006     0.31     0.01    -0.14     0.28
    -2    0.021   -0.059      0.131  0.006     0.24     0.02    -0.05     0.28
 event,miss,iscat,jscat= 1 0 32 8
     2    0.175    0.399      0.265  0.006    -0.30    -0.58     0.19     0.30
     1    0.119   -0.164     -0.013  0.010    -0.37    -0.47     0.06     0.22
     2    0.148    0.411      0.188  0.006    -0.29    -0.58     0.19     0.30
     1    0.146   -0.176      0.064  0.010    -0.32    -0.53     0.05     0.30
 event,miss,iscat,jscat= 1 0 15 12
    -2    0.235    0.251     -0.267  0.006     0.31     0.01    -0.14     0.28
     2    0.123   -0.050     -0.402  0.006     0.23     0.07    -0.15     0.28
    -2    0.294    0.222     -0.277  0.006     0.32     0.02    -0.15     0.30
     2    0.064   -0.021     -0.392  0.006     0.24     0.07    -0.17     0.30
 event,miss,iscat,jscat= 1 0 41 5
     1    0.030   -0.096      0.035  0.010    -0.31    -0.53    -0.28     0.33
    -2    0.051    0.182     -0.847  0.006    -0.29    -0.54    -0.15     0.21
     1    0.164    0.122     -0.054  0.010    -0.31    -0.54    -0.28     0.33
    -2   -0.083   -0.035     -0.757  0.006    -0.28    -0.51    -0.27     0.33
 event,miss,iscat,jscat= 1 0 40 5
     1    0.343    0.147     -0.392  0.010    -0.31    -0.53    -0.28     0.33
    -2   -0.083   -0.035     -0.757  0.006    -0.28    -0.51    -0.27     0.33
     1    0.387    0.100     -1.093  0.010    -0.28    -0.52    -0.31     0.37
    -2   -0.128    0.012     -0.057  0.006    -0.29    -0.52    -0.30     0.37
 event,miss,iscat,jscat= 1 0 54 53
     1   -0.057    0.101     -0.044  0.010     0.09     0.57    -0.37     0.41
     2   -0.015   -0.268     -0.032  0.006     0.05     0.67    -0.34     0.40
     1   -0.093    0.040      0.085  0.010     0.06     0.61    -0.39     0.46
     2    0.021   -0.207     -0.161  0.006     0.05     0.61    -0.34     0.46
 event,miss,iscat,jscat= 1 0 34 6
     2   -0.290   -0.065     -0.174  0.006     0.16    -0.43     0.00     0.31
    -2    0.403    0.353     -0.099  0.006    -0.29    -0.54    -0.15     0.21
     2    0.389    0.098      0.073  0.006    -0.02    -0.47    -0.10     0.52
    -2   -0.276    0.190     -0.347  0.006    -0.06    -0.34    -0.20     0.52
 event,miss,iscat,jscat= 1 0 33 9
    -3   -0.122    0.035      0.184  0.199     0.16    -0.43     0.00     0.31
     3   -0.161   -0.488      0.081  0.199     0.23    -0.04    -0.02     0.22
    -3   -0.045   -0.315     -0.068  0.199     0.05    -0.40     0.17     0.57
     3   -0.237   -0.137      0.332  0.199     0.13    -0.35     0.03     0.57
